,model_name,preprocess,inference,loss,postprocess,working_time,bbox map50-95,bbox map50,bbox map75,size Mb
0,yolov8n_640_torch,0.23441505432128906,19.856494808197024,0.0011553764343261719,0.8396296024322509,20.93169484138489,0.3709723278330784,0.5209010275819905,0.4032965296632317,6.231677055358887
1,yolov8n_640_openvino,0.2875463008880615,17.442576789855956,0.0016925811767578125,1.028012466430664,18.759828138351438,0.3703563149526593,0.5206646880140727,0.4029531398642451,12.33592414855957
2,yolov8n_640_onnx,0.3412350177764893,25.647129917144774,0.0015466690063476562,1.189073419570923,27.178985023498537,0.37035545933702885,0.5206649745353292,0.40295242688681315,12.229469299316406
3,yolov8n_640_onnx_simplify,0.338757848739624,25.180406856536866,0.0014510631561279296,1.155721092224121,26.67633686065674,0.37035545933702885,0.5206649745353292,0.40295242688681315,12.177433013916016
4,yolov8s_640_torch,0.1976760387420654,47.472064685821536,0.0014133453369140625,0.6506360530853271,48.321790122985846,0.44713013660443024,0.6128303466761933,0.4841487193525761,21.527636528015137
5,yolov8s_640_openvino,0.2977783203125,44.18808641433716,0.0016647338867187501,0.8826563835144042,45.37018585205078,0.44715955428069376,0.6122970977854554,0.48472065691382404,42.871788024902344
6,yolov8s_640_onnx,0.359657621383667,59.55594429969788,0.0016028404235839844,1.0036372184753417,60.92084197998047,0.4471588638716728,0.6122967335800109,0.4847202248025864,42.76483345031738
7,yolov8s_640_onnx_simplify,0.3370526790618896,62.056716728210446,0.001738262176513672,1.0234336376190185,63.418941307067875,0.4471588638716728,0.6122967335800109,0.4847202248025864,42.712862968444824
8,yolov8m_640_torch,0.20519428253173827,112.96317958831787,0.0012484550476074218,0.6042528629302979,113.7738751888275,0.5012852467241096,0.667485562562905,0.5457699777435598,49.70324993133545
9,yolov8m_640_openvino,0.30074305534362794,113.13265533447266,0.0017528533935546875,0.7886654376983643,114.22381668090821,0.4999319058397598,0.6658544760455282,0.5445632997983931,99.11719036102295
10,yolov8m_640_onnx,0.3684562683105469,140.90162291526795,0.0017076969146728516,1.012802219390869,142.28458909988404,0.49993172185209817,0.6658543416827485,0.5445621482812808,98.96615219116211
11,yolov8m_640_onnx_simplify,0.3809056758880615,138.76686849594117,0.0017111778259277343,1.074433469772339,140.22391881942752,0.49993172185209817,0.6658543416827485,0.5445621482812808,98.91816329956055
12,yolov8l_640_torch,0.20319056510925293,222.44062933921813,0.001404857635498047,0.5803608417510987,223.22558560371397,0.5293868265602436,0.69457957913788,0.5763609154791676,83.70369243621826
13,yolov8l_640_openvino,0.2845107078552246,225.76500520706176,0.001722574234008789,0.7025257110595703,226.75376420021055,0.526804224281761,0.6921103446217214,0.5729124369521332,167.00774097442627
14,yolov8l_640_onnx,0.36928572654724123,268.8794464111328,0.001618337631225586,1.0208294868469239,270.27117996215816,0.5268039951261243,0.6921099506395797,0.5729124397917239,166.81252574920654
15,yolov8l_640_onnx_simplify,0.37914834022521976,284.1503684043885,0.001579904556274414,1.047675609588623,285.5787722587586,0.5268039951261243,0.6921099506395797,0.5729124397917239,166.7686243057251
16,yolov8x_640_torch,0.20355257987976075,336.45092072486875,0.001321125030517578,0.5682381629943848,337.2240325927734,0.5403958362332206,0.7069972906125033,0.5895989683854514,130.52705669403076
17,yolov8x_640_openvino,0.283560848236084,353.1349545001984,0.0017147541046142578,0.6995664596557617,354.1197965621949,0.5371593009306304,0.7029932724436447,0.5860990844559071,260.5911741256714
18,yolov8x_640_onnx,0.35565614700317383,418.358441066742,0.0018233299255371092,1.0269647121429444,419.74288525581363,0.5371590964830218,0.7029921298300564,0.5860988871004046,260.395902633667
19,yolov8x_640_onnx_simplify,0.3438981533050537,430.2607177257538,0.0016092777252197264,1.0340404987335206,431.6402656555176,0.5371590964830218,0.7029921298300564,0.5860988871004046,260.35200119018555
