,model_name,preprocess ms,inference ms,loss ms,postprocess ms,working_time ms,bbox map50-95,bbox map50,bbox map75,size Mb
0,yolov8n_1024_torch,0.9157111852684613,35.78329764244235,0.0013025573220019414,0.3460010747328454,37.04631245976566,0.7519460979815537,0.9735727329735441,0.9114694421908992,5.975934982299805
1,yolov8n_1024_openvino,0.9658581609509467,40.134648695641516,0.0016101372284701221,0.5146657836622377,41.61678277748317,0.7499974185716405,0.9722819022816995,0.9075621346293204,11.942605018615723
2,yolov8n_1024_onnx,1.019955934731906,63.02826173843876,0.0015120352468182964,0.7712542512225992,64.82098395964009,0.7499975924434187,0.9722819022816995,0.9075621520818898,11.937018394470215
3,yolov8n_1024_onnx_simplify,1.0806125836845224,63.745795697721526,0.001572651105399912,1.002044917007501,65.83002584951895,0.7499975924434187,0.9722819022816995,0.9075621520818898,11.785127639770508
4,yolov8n_640_torch,0.11699646889380086,15.041915547178352,0.0012065632226504162,0.28162612140249893,15.441744700697303,0.6960382264444139,0.9381298909022463,0.8323147207004289,5.930891036987305
5,yolov8n_640_openvino,0.268313648310471,16.972418925240905,0.0015926475023568174,0.4167425732173942,17.659067794271127,0.6954768631549648,0.9375500597853794,0.830492073484312,11.792433738708496
6,yolov8n_640_onnx,0.40666911764384167,24.357120623298016,0.0014736376070776864,0.6772223054436942,25.44248568399263,0.6954169194308562,0.9375500597853794,0.8304919234807425,11.687073707580566
7,yolov8n_640_onnx_simplify,0.3009510154222787,24.580343421926923,0.0015552183490785078,0.6121213860551659,25.494971041753445,0.6954169194308562,0.9375500597853794,0.8304919234807425,11.635030746459961
8,yolov8s_640_torch,0.11610534740890084,36.89613809437449,0.0012844409281777367,0.28133335364192474,37.2948612363535,0.7422118316355456,0.9696597484635263,0.8928150649920422,21.453840255737305
9,yolov8s_640_openvino,0.2812520007790915,45.95088428921169,0.0015997687263443192,0.41413329977858165,46.64786935849571,0.7376726846609438,0.9673647720066717,0.8883528985241864,42.784114837646484
10,yolov8s_640_onnx,0.34473816838600585,59.135795522619176,0.0013580458993125558,0.4901805089223627,59.972072245826865,0.7376727570472669,0.9673647720066717,0.8883529900338257,42.67836093902588
11,yolov8s_640_onnx_simplify,0.48940258641396794,63.704284829762955,0.001582677788774315,0.9787605654808782,65.17403065944659,0.7376727570472669,0.9673647720066717,0.8883529900338257,42.626383781433105
